p_val,avg_log2FC,pct.1,pct.2,p_val_adj
STT3B,1.47989005861934e-130,0.31748033549716,0.349,0.223,5.11242819650638e-126
HNRNPC,2.76723947320085e-130,0.306214645034734,0.451,0.327,9.55970548411966e-126
HSP90AA1,4.35460365103339e-130,0.378829096697279,0.455,0.317,1.504341377286e-125
ELMO1,5.31074781014156e-127,0.295263949900177,0.568,0.394,1.8346509384915e-122
TUT4,2.12402245089924e-126,0.315675482709214,0.356,0.232,7.3376479588765e-122
CCM2,5.67496097757804e-124,0.290420851238714,0.254,0.142,1.96047201931411e-119
CEP85L,6.69261666193596e-123,0.2944836801725,0.302,0.179,2.3120313520324e-118
CDKAL1,3.64411771639764e-119,0.287542325308531,0.485,0.369,1.25889690630673e-114
TMEM117,4.41139798608885e-118,0.306163240189413,0.255,0.149,1.52396154827425e-113
CDK17,2.11196798130673e-117,0.299901009151845,0.349,0.227,7.29600458822224e-113
CLINT1,5.77221382158888e-115,0.299837422833812,0.282,0.174,1.9940689868061e-110
UBR5,9.16223489931084e-115,0.270054305671412,0.508,0.401,3.16518566831592e-110
MTRNR2L12,9.23926372807412e-114,0.2976492175633,0.28,0.168,3.19179604750048e-109
RASA2,2.31917491373839e-112,0.291006438660444,0.414,0.288,8.01182165700064e-108
HS2ST1,7.09252100653264e-111,0.293799974104752,0.271,0.165,2.45018230691676e-106
GOLGA4,2.00941107346324e-110,0.263499433593995,0.521,0.409,6.94171149438611e-106
SLC39A11,3.91171033050805e-110,0.291744361256984,0.4,0.277,1.35133945077731e-105
MDM2,4.05921568940387e-110,0.331539163632241,0.297,0.193,1.40229665206146e-105
EIF3A,2.26766417049092e-109,0.293867287380145,0.337,0.225,7.83387264337793e-105
SNRNP70,2.47119235970493e-108,0.296005876967465,0.267,0.165,8.53698112583664e-104
PTMA,1.74665977160918e-107,0.284697730460468,0.296,0.182,6.03401084700108e-103
PCMTD1,5.07839602450387e-107,0.299298051509525,0.318,0.212,1.75438269062511e-102
FLI1,1.33994562616148e-106,0.26911384457659,0.35,0.218,4.62897616013743e-102
HMGB1,5.50845156945573e-105,0.291912835658148,0.335,0.224,1.90294967918418e-100
SCFD2,2.03967569321821e-104,0.29323425237518,0.289,0.183,7.04626364979164e-100
NEDD9,1.18014177153227e-102,0.291445533791521,0.374,0.251,4.07691776393537e-98
AFTPH,2.64951482385846e-102,0.272333398820192,0.256,0.155,9.15301391050142e-98
RAPGEF2,1.03246122767431e-98,0.279660597595757,0.426,0.322,3.56674055712369e-94
GLG1,1.46327097032667e-98,0.27841431521537,0.379,0.27,5.05501589409053e-94
TM9SF3,1.09265991976348e-97,0.27732136601383,0.293,0.19,3.77470295881492e-93
CCDC88A,4.31579528394794e-97,0.277124677524791,0.344,0.228,1.49093463879265e-92
STK17B,8.54863513696659e-96,0.25813221023118,0.283,0.174,2.95321149441648e-91
ZHX2,7.97266459432669e-95,0.277104360000571,0.365,0.256,2.7542367107561e-90
CHST11,6.64064800346318e-94,0.263519492691774,0.594,0.426,2.29407825927639e-89
TCF25,1.07576683611092e-93,0.27612920774198,0.337,0.234,3.71634411202877e-89
RAPGEF1,5.09577938402031e-92,0.265957114975346,0.444,0.316,1.76038794600366e-87
SLC38A2,1.22726111700611e-91,0.258286567915284,0.291,0.186,4.23969625480929e-87
KLF12,1.43923590340752e-91,0.253419906453119,0.288,0.179,4.97198435191164e-87
SP3,2.19569330892336e-88,0.255905944839484,0.264,0.167,7.58524210500663e-84
ZCCHC7,2.15615010085408e-87,0.250940639707216,0.46,0.363,7.44863613841052e-83
SAMD12,7.41725626105966e-87,0.263121881749518,0.3,0.197,2.56236534794567e-82
MT-ND6,2.1535082585908e-84,0.275365286422826,0.331,0.227,7.43950963012779e-80
ASXL1,2.26267797002377e-82,0.259165778114145,0.311,0.214,7.81664731524412e-78
IL6ST,1.2499178077472e-81,0.262255559988935,0.291,0.197,4.31796605864347e-77
USP3,2.79442179004108e-80,0.253403700467837,0.383,0.284,9.65360951587591e-76
RNGTT,2.62374540770599e-78,0.250244502095257,0.289,0.196,9.06399088546111e-74
INSR,5.10175573530249e-76,0.265218956650085,0.26,0.174,1.7624525363176e-71
