,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Group
CXCL13,3.25731820234868,1.06130402551716,0.319868795495317,3.31793547999495,0.000906854294442291,0.0033412179714593,upregulated
TCHHL1,1.46036769309688,1.06165986473717,0.486903779498793,2.18043052742375,0.0292255633258113,0.0612906093885432,notsignificant
LEFTY2,2.28171425694645,1.06265986446138,0.356052379202319,2.98456049315582,0.00283986041762065,0.00871813902421673,upregulated
TFF3,23.2536220747357,1.06302117985695,0.311607367444908,3.41141221587097,0.000646273073527007,0.00251877200035358,upregulated
OTOR,1.60360034867856,1.06326795038934,0.480649911300162,2.21214635723783,0.0269565539209092,0.0574626268424165,notsignificant
CST5,0.298822989647095,1.06327508602234,1.16404832370926,0.913428647561807,0.361017144495176,NA,notsignificant
INA,2.19882900257562,1.06327990107583,0.355423315170087,2.99158737115205,0.00277531108125984,0.00855632409714,upregulated
VSIG10,127.514025072395,1.06330838789414,0.180726639914877,5.88351771711663,4.01637079283588e-09,9.42668931064296e-08,upregulated
PCSK2,2.13611094449323,1.06389602147975,0.400755237982992,2.65472767576128,0.00793724567453227,0.0206572642233526,upregulated
C10orf53,2.65857763582387,1.0640678735222,0.354290635321697,3.00337566799085,0.00267002621639459,0.00829722284611348,upregulated
OR5L1,0.48569127435862,1.06480347131106,0.897941498897528,1.18582721994517,0.235690539634916,NA,notsignificant
PLAU,61.7050441163044,1.06502358680817,0.187866562615846,5.66904281410607,1.4359748349411e-08,2.85639988713919e-07,upregulated
EGFLAM,4.18003977905758,1.06512891429244,0.317420990403912,3.35557176901591,0.000792011032152943,0.00297968288418334,upregulated
RFX6,3.08794068710267,1.06524364596068,0.415919248972271,2.56117899951223,0.0104317593105115,0.0259238723230022,upregulated
VNN1,4172.87933347289,1.06535316671702,0.231236136613366,4.60720881398534,4.08110118551127e-06,3.50022204913717e-05,upregulated
SMIM21,1.33441410478895,1.06627949723359,0.539776520642014,1.97540918594487,0.0482217311955925,0.0934231171957658,notsignificant
GPHB5,1.03188571925644,1.06632396652731,0.638313356931985,1.67053368842622,0.0948138198937383,0.161235441689692,notsignificant
RNF148,0.976266839676602,1.06660071992304,0.634013614413939,1.68229939495696,0.0925107984020923,0.158020627463181,notsignificant
COL12A1,10.7425316304331,1.06701077341391,0.223316168593505,4.77802740452778,1.77023258823176e-06,1.71979099046671e-05,upregulated
CA3,10.4357345700102,1.06798858147908,0.26139993101324,4.08564982147983,4.39536272972584e-05,0.000261917642702829,upregulated
PLK5,2.6858516110621,1.06801961737725,0.260301008470948,4.10301759355823,4.07796226317603e-05,0.000245359213441494,upregulated
TMSB15A,4.5643629677642,1.06821569610074,0.277277935688122,3.85250883179632,0.000116913758442528,0.000594710788212036,upregulated
LGR5,3.23419776665076,1.06846092564351,0.340450502949595,3.138373761785,0.001698880956534,0.0056835634602351,upregulated
FEV,0.263183651621098,1.06936883010757,1.50461729150736,0.710724804336295,0.477254785771668,NA,notsignificant
RMI2,89.2425279877405,1.06937270548025,0.143559015006754,7.44901116401459,9.40424145641198e-14,5.35686816543855e-12,upregulated
DDX58,4198.90923457487,1.06952198175456,0.151233738222974,7.07198006424794,1.52738368249506e-12,7.21678767776276e-11,upregulated
MSTN,1.93772270731085,1.06953102901595,0.346430032112031,3.08729304585833,0.00201988364472214,0.00659806666163818,upregulated
BRCA2,203.356716722299,1.06967896240789,0.111628543881441,9.58248603102784,9.4736633755754e-22,1.77650925090738e-19,upregulated
FOLH1B,1.90174676399168,1.06972675960617,0.415562212562525,2.57416754283265,0.0100481602430244,0.0251231917631842,upregulated
TEK,30.6961148156184,1.07075384854874,0.214454019925099,4.99292971482986,5.94702041186764e-07,6.85831271328899e-06,upregulated
OR10AG1,1.08184299690977,1.07075805335898,0.598305408257514,1.78965130279772,0.0735099855326301,0.131565800331775,notsignificant
